data,B6D2F1,BXD1,BXD11,BXD11TY,BXD12,BXD13,BXD14,BXD15,BXD16,BXD19,BXD2,BXD21,BXD23,BXD24,BXD28,BXD29,BXD31,BXD32,BXD33,BXD34,BXD36,BXD38,BXD39,BXD40,BXD42,BXD43,BXD44,BXD45,BXD48,BXD5,BXD51,BXD6,BXD60,BXD62,BXD69,BXD73,BXD77,BXD8,BXD85,BXD86,BXD9,BXD92,C57BL6J,DBA2J
Paip1,1.8381666666666667,2.3395,2.57,2.385,2.237,0.6910000000000001,1.4975,0.3125,2.3095,0.3005,0.21450000000000002,0.503,0.563,2.25,0.491,0.8535,2.37,2.2685,2.229,0.516,1.786,0.14300000000000002,0.2965,0.46849999999999997,2.3945,0.541,2.4765,0.2405,0.2875,2.431,2.4475,2.395,0.4395,2.591,0.4795,2.5505,2.1814999999999998,2.2055,2.6845,0.21350000000000002,2.366,2.3825000000000003,0.46836363636363637,2.3162142857142856
Pde6h,0.8378333333333333,1.6515,1.606,1.35,0.2445,1.864,0.29350000000000004,1.061,0.1765,1.2955,0.055,0.345,0.3085,2.178,0.2695,0.9550000000000001,1.5645,1.891,0.219,1.2265,1.4220000000000002,0.2545,1.2109999999999999,1.5139999999999998,0.1335,0.155,1.7645,0.17600000000000002,0.199,1.189,1.296,0.098,1.3465,0.3525,1.095,1.302,1.4925000000000002,0.358,1.3485,1.419,1.8255,1.1880000000000002,0.2727727272727273,1.6502857142857141
Pdxdc1,5.629666666666666,0.15,6.163,6.588,0.3225,-0.008499999999999994,6.427,0.48,0.462,6.7115,6.5715,0.458,6.729,6.1525,0.42700000000000005,6.077500000000001,0.25,6.361000000000001,6.2765,6.561,6.162,6.0465,6.3705,2.8575,5.855,0.20450000000000002,6.4565,6.0085,0.887,0.563,0.8115,5.922000000000001,6.333,1.516,6.7965,6.9625,6.196,2.305,6.7725,6.7435,1.0434999999999999,6.659,0.4116818181818182,6.279357142857143
Per2,1.0858333333333332,0.31600000000000006,-0.46,-0.689,1.1365,0.10550000000000001,1.2694999999999999,-0.268,-1.258,-0.6575,-0.188,-0.34099999999999997,-0.216,1.0295,1.5475,-0.5215000000000001,1.455,0.40049999999999997,0.313,1.3985,0.858,1.362,-0.9835,0.874,-0.014500000000000013,-0.044499999999999984,0.633,-0.2625,0.3325,0.2345,0.1945,0.43800000000000006,1.2995,1.458,0.06900000000000006,1.9945,0.8775000000000001,-0.5945,1.287,0.222,1.0085,1.318,1.0390454545454546,0.027499999999999997
Pi4k2b,1.4246666666666667,0.246,0.077,0.325,0.1365,0.5245,0.2985,0.0385,1.5645,1.569,2.057,2.107,-0.159,1.874,2.012,0.31,1.9834999999999998,1.898,0.138,2.3265000000000002,2.092,0.114,0.1235,0.8554999999999999,-0.10900000000000001,0.20299999999999996,2.1155,0.254,0.40449999999999997,2.1365,1.7075,0.1995,0.228,0.093,1.775,1.6654999999999998,1.8845,0.2415,1.5985,1.833,0.6955,0.40049999999999997,0.27449999999999997,1.9085
Pik3c2g,2.5253333333333337,2.6310000000000002,3.662,3.347,1.112,3.1685,0.7005,2.982,1.0270000000000001,3.079,0.5515,0.783,1.148,2.6935000000000002,0.357,3.1345,3.2015000000000002,2.9505,1.0505,3.02,2.7535,0.9544999999999999,2.9015,2.775,0.9295,0.7885,3.2975000000000003,1.287,1.2295,3.2510000000000003,3.247,0.9485,3.0315000000000003,0.8975,1.2355,3.034,3.1885,0.7935000000000001,2.9375,1.263,2.3955,3.8,0.8303181818181818,3.248285714285714
Ppp1r1c,-0.16116666666666668,-0.3095,-0.317,0.075,-0.3895,3.254,0.067,-0.133,0.373,0.46799999999999997,0.092,-0.23049999999999998,0.1335,0.16000000000000003,-0.0535,-0.348,-0.505,0.17250000000000001,0.023499999999999993,-0.309,0.11700000000000002,-0.2915,-0.10899999999999999,0.0645,-0.11599999999999999,-0.154,0.0325,-0.033,-0.016999999999999998,-0.17149999999999999,0.507,-0.086,-0.14850000000000002,0.3605,0.2955,0.651,-0.3035,0.078,0.42000000000000004,0.30100000000000005,-0.2545,0.4255,-0.11781818181818181,-0.193
Ppp1r3g,0.8551666666666667,0.6575,1.33,-0.729,1.8575,0.17200000000000001,0.629,-0.17200000000000001,-0.097,-0.9249999999999999,-0.7530000000000001,0.08800000000000002,0.12499999999999997,-0.716,0.0815,0.9794999999999999,3.0135,0.15100000000000002,0.238,1.488,0.5980000000000001,0.056999999999999995,-0.028499999999999998,0.5115000000000001,0.6265,0.2725,0.741,0.20350000000000001,-0.4895,2.4025,-0.0225,0.5325,-0.31300000000000006,0.5535,1.184,1.8864999999999998,-0.489,-0.403,1.205,-1.066,0.978,-0.34,0.6162272727272727,0.17307142857142857
Prelid2,1.9268333333333334,2.773,2.401,3.197,2.5435,2.531,1.697,-0.055999999999999994,2.6935000000000002,-0.737,2.8585000000000003,0.23900000000000002,3.4675000000000002,0.361,-0.086,0.8195,2.625,2.6635,2.7825,2.1905,1.0165,0.18599999999999997,2.7965,-0.2575,-0.2695,2.6245000000000003,2.8890000000000002,-0.21799999999999997,-0.28550000000000003,0.5609999999999999,-0.08750000000000002,2.324,0.824,2.6255,2.6435,0.2085,2.2824999999999998,-0.41700000000000004,0.526,3.135,2.463,1.956,0.2818181818181818,3.2935714285714286
Prkd3,0.662,1.002,-0.169,-0.108,-0.111,-0.28150000000000003,-0.2075,0.798,1.281,1.432,-0.10499999999999998,1.088,-0.394,-0.40900000000000003,-0.3115,1.2325,1.008,-0.1985,-0.1975,1.788,0.5445000000000001,0.7975,1.2185,0.675,-0.117,1.0005,1.1975,0.9935,1.1305,-0.3405,1.4235,0.937,0.8525,1.2985,-0.1695,-0.0985,-0.316,1.1855,1.696,0.07100000000000001,0.6745,-0.12899999999999998,1.2033636363636364,-0.2795
Psen2,0.7096666666666667,0.7615000000000001,-0.362,-0.147,1.198,1.759,0.18300000000000005,1.536,1.8250000000000002,2.056,1.7335,1.3255,1.4695,-0.651,-0.7234999999999999,0.129,0.996,-0.2615,1.5945,-0.664,1.0025,-0.501,-0.064,1.6055000000000001,1.637,-0.17049999999999998,-0.137,2.0055,-0.399,-0.2995,1.6145,1.4749999999999999,1.089,-0.5469999999999999,-0.379,0.8125,-0.279,-0.268,0.841,-0.388,-0.7645,1.4395,1.1859545454545455,-0.3197857142857143
Qpct,0.9620000000000001,1.4329999999999998,0.341,0.444,-0.12400000000000001,-0.0365,0.10500000000000001,1.4489999999999998,1.962,1.6465,0.163,0.8285,0.36350000000000005,-0.78,-0.003999999999999997,1.6360000000000001,1.5355,0.01849999999999999,0.317,1.4025,1.1784999999999999,0.877,1.4575,0.621,0.24150000000000002,0.9584999999999999,0.967,1.0815000000000001,1.179,0.037,1.1179999999999999,1.5230000000000001,0.7969999999999999,0.6555,0.194,0.062,-0.0005000000000000004,1.4115,1.542,-0.1875,0.706,-0.266,1.3488636363636364,0.24057142857142857
Rad51l1,0.7705000000000001,1.6549999999999998,0.204,1.96,0.274,0.5805,0.978,0.495,1.2785000000000002,1.9295,0.7005,0.00449999999999999,2.9575,-0.639,-0.229,1.3110000000000002,1.3039999999999998,0.5395,-0.14049999999999999,0.7575,1.1315000000000002,0.037500000000000006,1.143,0.732,1.6360000000000001,0.4345,0.2585,-0.14900000000000002,0.371,0.9949999999999999,0.95,1.0479999999999998,0.772,0.395,0.283,0.7455,0.8295,0.39999999999999997,1.8279999999999998,0.09100000000000003,-0.0965,-0.0010000000000000009,0.742409090909091,1.5547142857142855
Rarres1,1.0558333333333334,2.3120000000000003,0.83,0.765,-0.191,1.822,1.509,0.39749999999999996,2.1035000000000004,2.3325,2.0435,0.499,1.1915,1.505,0.33499999999999996,1.8704999999999998,0.907,1.9785,1.693,0.6445000000000001,0.8005000000000001,0.1465,0.6499999999999999,1.6405,0.7455,0.6805000000000001,0.5905,0.6639999999999999,0.7084999999999999,0.5895,0.2865,1.932,1.6685,0.8885000000000001,1.544,-0.5885,1.9585,1.8765,1.6745,0.14500000000000002,0.3725,1.73,1.5310000000000001,0.5002857142857143
